"['Ethan Samuel Slater (born June 2, 1992) is an American actor and singer. He played the character of ']"
"['Matt Eberflus ( ; born May 17, 1970) is an American professional football coach who is the defensive']"
"['Justin Dean Kluivert (born 5 May 1999) is a Dutch professional footballer who plays as a winger or f']"
"['Alexander Nahuel Barboza Ullúa (born 16 March 1995) is a professional footballer who plays as a cent']"
"['Emily Olivia Laura Blunt (born 23 February 1983) is a British actress. She is the recipient of sever']"
"['The family of Donald Trump, the 45th and 47th president of the United States and owner of the Trump ']"
"['Bill Istvan Günther Skarsgård (; born 9 August 1990) is a Swedish actor. He is known for portraying ']"
"['Samuel Hartman (born July 29, 1999) is an American professional football quarterback for the Washing']"
"['Sophia Anna Bush (born July 8, 1982) is an American actress. She starred as Brooke Davis in The WB/C']"
"['Jesse Woodson James (September 5, 1847April 3, 1882) was an American outlaw, bank and train robber, ']"
