"['Elisabeth (born Duchess Elisabeth Amalie Eugenie in Bavaria; 24 December 1837 – 10 September 1898), ']"
"['Henry Earl Holliman (September 11, 1928 – November 25, 2024) was an American actor, animal rights ac']"
"['A Man on the Inside is an American comedy television series created by Michael Schur and starring Te']"
"['Demi Bennett (born 11 October 1996) is an Australian professional wrestler. As of July 2017, she is ']"
"['Blitz is a 2024 historical war drama film written, produced and directed by Steve McQueen. The film ']"
"['Slow Horses is a British spy thriller television series based on the "Slough House" series of novels']"
"['How to Train Your Dragon is a 2025 American fantasy film produced, written, and directed by Dean DeB']"
"['Accused is an American crime drama anthology television series developed by Howard Gordon that is ba']"
"['Mary William Ethelbert Appleton "Billie" Burke (August 7, 1884 – May 14, 1970) was an American actre']"
"['Catherine Élise Blanchett ( ; born 14 May 1969) is an Australian actor and producer. Regarded as one']"
