0,0.717548
1,0.715382
2,0.73922
3,0.725001
4,0.734902
5,0.738487
6,0.74183
7,0.738266
8,0.728287
9,0.722757
10,0.620877
11,0.680074
12,0.673816
13,0.715369
14,0.686708
15,0.742806
16,0.747721
17,0.740309
18,0.755359
19,0.624962
20,0.69077
21,0.726368
22,0.738039
23,0.740741
24,0.687539
25,0.659831
26,0.683408
27,0.633141
28,0.726888
29,0.778515
30,0.806076
31,0.669349
32,0.741816
33,0.705684
34,0.711533
35,0.754681
36,0.695261
37,0.777868
38,0.668621
39,0.620011
40,0.725673
41,0.669471
42,0.69968
43,0.735047
44,0.707486
45,0.727253
46,0.707427
47,0.569215
48,0.66021
49,0.729849
50,0.69064
51,0.731111
52,0.756092
53,0.721587
54,0.723239
55,0.732361
56,0.753231
57,0.690904
58,0.7169
59,0.792752
60,0.726859
61,0.709998
62,0.743406
63,0.739143
64,0.762962
65,0.718277
66,0.740783
67,0.682555
68,0.737683
69,0.732054
70,0.685658
71,0.663138
72,0.707926
73,0.737966
74,0.731061
75,0.746668
76,0.717821
77,0.763673
78,0.726467
79,0.752261
80,0.717259
81,0.704296
82,0.766582
83,0.703991
84,0.792609
85,0.715564
86,0.655874
87,0.783532
88,0.724928
89,0.683312
90,0.716594
91,0.70033
92,0.689587
93,0.711936
94,0.738301
95,0.768977
96,0.696419
97,0.72877
98,0.711422
99,0.731231
100,0.734818
101,0.810011
102,0.76331
103,0.662067
104,0.747605
105,0.734201
106,0.685014
107,0.621062
108,0.751101
109,0.70906
110,0.776169
111,0.675537
112,0.699159
113,0.729839
114,0.713027
115,0.755508
116,0.690792
117,0.665332
118,0.671301
119,0.677433
120,0.683581
121,0.758244
122,0.743461
123,0.750029
124,0.680972
125,0.709491
126,0.691812
127,0.610161
128,0.662358
129,0.681443
130,0.739804
131,0.725157
132,0.696706
133,0.663093
134,0.780595
135,0.744504
136,0.605067
137,0.73374
138,0.768957
139,0.668952
140,0.648408
141,0.769204
142,0.760646
143,0.735175
144,0.711127
145,0.77401
146,0.634647
147,0.765033
148,0.71137
149,0.742223
150,0.723001
151,0.722677
152,0.752253
153,0.679322
154,0.779265
155,0.70861
156,0.683692
157,0.748363
158,0.740419
159,0.731742
160,0.716056
161,0.679016
162,0.732982
163,0.752061
164,0.784346
165,0.715957
166,0.703118
167,0.740993
168,0.669467
169,0.67997
170,0.649185
171,0.762705
172,0.700714
173,0.660654
174,0.755855
175,0.72123
176,0.747918
177,0.812357
178,0.724352
179,0.718523
180,0.793904
181,0.616908
182,0.758746
183,0.68992
184,0.686695
185,0.714053
186,0.679344
187,0.673623
188,0.667403
189,0.687117
190,0.564434
191,0.686889
192,0.705037
193,0.75533
194,0.706299
195,0.692811
196,0.684829
197,0.710465
198,0.663569
199,0.73395
